"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Integrate the auth helper and sure Squid has started with authentication required.","24431","test_relation","tests.integration","2025-11-29","passed","2025-11-29","","test_charm","",""
"Check that unauthenticated users cannot access.","17797","test_unauthenticated_requests[digest]","tests.integration","2025-11-29","passed","2025-11-29","","test_charm","",""
"Check testing environment.

    Deploy Squid and check that it waits for an auth helper.
    Deploy a client unit to be able to test access later.
    ","196321","test_deploy_squid_and_client","tests.integration","2025-11-29","passed","2025-11-29","","test_charm","",""
"Check that authenticated users have access.

    Test Basic and Digest protocols for http and https websites.
    ","18324","test_authenticated_requests[basic-https]","tests.integration","2025-11-29","passed","2025-11-29","","test_charm","",""
"Check that authenticated users have access.

    Test Basic and Digest protocols for http and https websites.
    ","17818","test_authenticated_requests[digest-http]","tests.integration","2025-11-29","passed","2025-11-29","","test_charm","",""
"Check that unauthenticated users cannot access.","18254","test_unauthenticated_requests[basic]","tests.integration","2025-11-29","passed","2025-11-29","","test_charm","",""
"Check that authenticated users have access.

    Test Basic and Digest protocols for http and https websites.
    ","17825","test_authenticated_requests[digest-https]","tests.integration","2025-11-29","passed","2025-11-29","","test_charm","",""
"Check vault ownership and permissions.","617","test_vault_ownership_and_permissions","tests.integration","2025-11-29","passed","2025-11-29","","test_charm","",""
"Check that authenticated users have access.

    Test Basic and Digest protocols for http and https websites.
    ","17981","test_authenticated_requests[basic-http]","tests.integration","2025-11-29","failed","2025-11-29","","test_charm","",""
"Deploy the charm alone, and wait for 'unknown' status.","2515","test_build_and_deploy","tests.integration","2025-11-29","passed","2025-11-29","","test_charm","",""
